nCoV-2019_1_LEFT_1	nCoV-2019_1_RIGHT_1
nCoV-2019_59_LEFT_0	nCoV-2019_59_RIGHT_0
nCoV-2019_60_LEFT_0	nCoV-2019_60_RIGHT_0
nCoV-2019_61_LEFT_0	nCoV-2019_61_RIGHT_0
nCoV-2019_62_LEFT_2	nCoV-2019_62_RIGHT_0
nCoV-2019_63_LEFT_0	nCoV-2019_63_RIGHT_0
nCoV-2019_64_LEFT_0	nCoV-2019_64_RIGHT_0
nCoV-2019_65_LEFT_0	nCoV-2019_65_RIGHT_0
nCoV-2019_66_LEFT_0	nCoV-2019_66_RIGHT_0
nCoV-2019_67_LEFT_1	nCoV-2019_67_RIGHT_1
nCoV-2019_68_LEFT_0	nCoV-2019_68_RIGHT_0
nCoV-2019_69_LEFT_0	nCoV-2019_69_RIGHT_0
nCoV-2019_70_LEFT_0	nCoV-2019_70_RIGHT_0
nCoV-2019_71_LEFT_0	nCoV-2019_71_RIGHT_0
nCoV-2019_72_LEFT_0	nCoV-2019_72_RIGHT_0
nCoV-2019_73_LEFT_0	nCoV-2019_73_RIGHT_0
nCoV-2019_74_LEFT_0	nCoV-2019_74_RIGHT_0
nCoV-2019_75_LEFT_1	nCoV-2019_75_RIGHT_1
nCoV-2019_76_LEFT_0	nCoV-2019_76_RIGHT_0
nCoV-2019_77_LEFT_0	nCoV-2019_77_RIGHT_0
nCoV-2019_78_LEFT_0	nCoV-2019_78_RIGHT_0
nCoV-2019_79_LEFT_0	nCoV-2019_79_RIGHT_0
nCoV-2019_80_LEFT_0	nCoV-2019_80_RIGHT_0
nCoV-2019_81_LEFT_0	nCoV-2019_81_RIGHT_0
nCoV-2019_82_LEFT_0	nCoV-2019_82_RIGHT_0
nCoV-2019_83_LEFT_0	nCoV-2019_83_RIGHT_0
nCoV-2019_84_LEFT_2	nCoV-2019_84_RIGHT_2
nCoV-2019_85_LEFT_0	nCoV-2019_85_RIGHT_0
nCoV-2019_86_LEFT_0	nCoV-2019_86_RIGHT_0
nCoV-2019_87_LEFT_1	nCoV-2019_87_RIGHT_1
nCoV-2019_88_LEFT_2	nCoV-2019_88_RIGHT_2
nCoV-2019_89_LEFT_2	nCoV-2019_89_RIGHT_0
nCoV-2019_90_LEFT_0	nCoV-2019_90_RIGHT_0
nCoV-2019_91_LEFT_0	nCoV-2019_91_RIGHT_0
nCoV-2019_92_LEFT_0	nCoV-2019_92_RIGHT_0
nCoV-2019_93_LEFT_0	nCoV-2019_93_RIGHT_0
nCoV-2019_94_LEFT_0	nCoV-2019_94_RIGHT_0
nCoV-2019_95_LEFT_0	nCoV-2019_95_RIGHT_0
nCoV-2019_96_LEFT_1	nCoV-2019_96_RIGHT_0
